A 345 666
A 283 764
A 298 521
C 283 764
C 298 521
C 345 666
A 373 639
R 345 666
C 283 764
C 298 521
C 373 639
A 312 544
R 312 544
C 283 764
C 298 521
C 373 639
A 487 372
C 283 764
C 298 521
C 487 372
C 373 639
A 359 612
R 359 612
C 283 764
C 298 521
C 487 372
C 373 639
A 288 542
C 283 764
C 288 542
C 298 521
C 487 372
C 373 639
A 332 819
R 373 639
C 283 764
C 288 542
C 298 521
C 487 372
C 332 819
A 347 789
C 283 764
C 288 542
C 298 521
C 487 372
C 347 789
C 332 819
A 388 839
R 347 789
C 283 764
C 288 542
C 298 521
C 487 372
C 388 839
C 332 819
A 487 852
C 283 764
C 288 542
C 298 521
C 487 372
C 487 852
C 388 839
C 332 819
A 512 852
C 283 764
C 288 542
C 298 521
C 487 372
C 512 852
C 487 852
C 388 839
C 332 819
A 283 764
R 283 764
C 283 764
C 288 542
C 298 521
C 487 372
C 512 852
C 487 852
C 388 839
C 332 819
A 411 711
R 411 711
C 283 764
C 288 542
C 298 521
C 487 372
C 512 852
C 487 852
C 388 839
C 332 819
A 272 582
C 272 582
C 288 542
C 298 521
C 487 372
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 507 758
R 507 758
C 272 582
C 288 542
C 298 521
C 487 372
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 521 788
C 272 582
C 288 542
C 298 521
C 487 372
C 521 788
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 512 688
R 512 688
C 272 582
C 288 542
C 298 521
C 487 372
C 521 788
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 512 632
C 272 582
C 288 542
C 298 521
C 487 372
C 512 632
C 521 788
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 522 658
R 512 632
C 272 582
C 288 542
C 298 521
C 487 372
C 522 658
C 521 788
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 522 558
C 272 582
C 288 542
C 298 521
C 487 372
C 522 558
C 522 658
C 521 788
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 557 727
R 521 788
R 522 558
R 522 658
C 272 582
C 288 542
C 298 521
C 487 372
C 557 727
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 398 435
C 272 582
C 288 542
C 298 521
C 398 435
C 487 372
C 557 727
C 512 852
C 487 852
C 388 839
C 332 819
C 283 764
A 599 940
R 388 839
R 487 852
R 512 852
R 557 727
C 272 582
C 288 542
C 298 521
C 398 435
C 487 372
C 599 940
C 332 819
C 283 764
A 42 687
R 272 582
R 283 764
R 288 542
R 298 521
R 398 435
C 42 687
C 487 372
C 599 940
C 332 819
A 599 1023
R 332 819
C 42 687
C 487 372
C 599 940
C 599 1023
A 631 902
R 599 940
C 42 687
C 487 372
C 631 902
C 599 1023
A 200 655
R 200 655
C 42 687
C 487 372
C 631 902
C 599 1023
A 612 589
C 42 687
C 487 372
C 612 589
C 631 902
C 599 1023
A 638 832
C 42 687
C 487 372
C 612 589
C 638 832
C 631 902
C 599 1023
A 588 522
C 42 687
C 487 372
C 588 522
C 612 589
C 638 832
C 631 902
C 599 1023
A 645 754
C 42 687
C 487 372
C 588 522
C 612 589
C 645 754
C 638 832
C 631 902
C 599 1023
A 499 499
R 499 499
C 42 687
C 487 372
C 588 522
C 612 589
C 645 754
C 638 832
C 631 902
C 599 1023
A 550 420
C 42 687
C 487 372
C 550 420
C 588 522
C 612 589
C 645 754
C 638 832
C 631 902
C 599 1023
A 721 723
R 588 522
R 612 589
R 631 902
R 638 832
R 645 754
C 42 687
C 487 372
C 550 420
C 721 723
C 599 1023
A 677 653
R 677 653
C 42 687
C 487 372
C 550 420
C 721 723
C 599 1023
A 677 620
C 42 687
C 487 372
C 550 420
C 677 620
C 721 723
C 599 1023
A 657 445
R 550 420
R 677 620
C 42 687
C 487 372
C 657 445
C 721 723
C 599 1023
A 782 573
R 721 723
C 42 687
C 487 372
C 657 445
C 782 573
C 599 1023
A 532 317
R 487 372
R 657 445
C 42 687
C 532 317
C 782 573
C 599 1023
A 791 387
C 42 687
C 532 317
C 791 387
C 782 573
C 599 1023
A 723 479
R 723 479
C 42 687
C 532 317
C 791 387
C 782 573
C 599 1023
A 700 301
C 42 687
C 532 317
C 700 301
C 791 387
C 782 573
C 599 1023
A 599 288
C 42 687
C 532 317
C 599 288
C 700 301
C 791 387
C 782 573
C 599 1023
A 800 201
R 599 288
R 700 301
R 791 387
C 42 687
C 532 317
C 800 201
C 782 573
C 599 1023
A 477 287
R 532 317
C 42 687
C 477 287
C 800 201
C 782 573
C 599 1023
A 477 255
R 477 287
C 42 687
C 477 255
C 800 201
C 782 573
C 599 1023
A 477 225
R 477 255
C 42 687
C 477 225
C 800 201
C 782 573
C 599 1023
A 477 201
R 477 225
C 42 687
C 477 201
C 800 201
C 782 573
C 599 1023
