A 701 434
A 732 403
A 807 734
C 701 434
C 732 403
C 807 734
A 838 72
R 732 403
C 701 434
C 838 72
C 807 734
A 807 322
R 807 322
C 701 434
C 838 72
C 807 734
A 837 696
C 701 434
C 838 72
C 837 696
C 807 734
A 1003 505
R 837 696
C 701 434
C 838 72
C 1003 505
C 807 734
A 942 790
C 701 434
C 838 72
C 1003 505
C 942 790
C 807 734
A 911 132
C 701 434
C 838 72
C 911 132
C 1003 505
C 942 790
C 807 734
A 927 184
C 701 434
C 838 72
C 911 132
C 927 184
C 1003 505
C 942 790
C 807 734
A 812 221
R 812 221
C 701 434
C 838 72
C 911 132
C 927 184
C 1003 505
C 942 790
C 807 734
A 843 241
R 843 241
C 701 434
C 838 72
C 911 132
C 927 184
C 1003 505
C 942 790
C 807 734
A 921 116
R 911 132
R 927 184
C 701 434
C 838 72
C 921 116
C 1003 505
C 942 790
C 807 734
A 766 843
R 807 734
C 701 434
C 838 72
C 921 116
C 1003 505
C 942 790
C 766 843
A 997 568
C 701 434
C 838 72
C 921 116
C 1003 505
C 997 568
C 942 790
C 766 843
A 784 131
C 701 434
C 784 131
C 838 72
C 921 116
C 1003 505
C 997 568
C 942 790
C 766 843
A 836 152
R 836 152
C 701 434
C 784 131
C 838 72
C 921 116
C 1003 505
C 997 568
C 942 790
C 766 843
A 872 91
R 872 91
C 701 434
C 784 131
C 838 72
C 921 116
C 1003 505
C 997 568
C 942 790
C 766 843
A 973 332
C 701 434
C 784 131
C 838 72
C 921 116
C 973 332
C 1003 505
C 997 568
C 942 790
C 766 843
A 717 511
R 717 511
C 701 434
C 784 131
C 838 72
C 921 116
C 973 332
C 1003 505
C 997 568
C 942 790
C 766 843
A 893 264
R 893 264
C 701 434
C 784 131
C 838 72
C 921 116
C 973 332
C 1003 505
C 997 568
C 942 790
C 766 843
A 743 458
R 743 458
C 701 434
C 784 131
C 838 72
C 921 116
C 973 332
C 1003 505
C 997 568
C 942 790
C 766 843
A 1023 528
R 973 332
R 997 568
R 1003 505
C 701 434
C 784 131
C 838 72
C 921 116
C 1023 528
C 942 790
C 766 843
A 845 33
R 838 72
C 701 434
C 784 131
C 845 33
C 921 116
C 1023 528
C 942 790
C 766 843
A 977 1003
R 942 790
C 701 434
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 766 843
A 717 286
C 701 434
C 717 286
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 766 843
A 727 233
C 701 434
C 717 286
C 727 233
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 766 843
A 797 950
C 701 434
C 717 286
C 727 233
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 797 950
C 766 843
A 707 372
C 701 434
C 707 372
C 717 286
C 727 233
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 797 950
C 766 843
A 885 977
C 701 434
C 707 372
C 717 286
C 727 233
C 784 131
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
C 766 843
A 617 342
R 701 434
R 707 372
R 717 286
R 727 233
R 766 843
R 784 131
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
A 995 758
R 995 758
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
A 718 901
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
C 718 901
A 798 612
R 798 612
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
C 718 901
A 982 373
R 982 373
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 885 977
C 797 950
C 718 901
A 677 973
R 718 901
R 797 950
R 885 977
C 617 342
C 845 33
C 921 116
C 1023 528
C 977 1003
C 677 973
A 413 509
R 617 342
C 413 509
C 845 33
C 921 116
C 1023 528
C 977 1003
C 677 973
A 641 810
R 641 810
C 413 509
C 845 33
C 921 116
C 1023 528
C 977 1003
C 677 973
A 1023 397
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 677 973
A 507 956
R 677 973
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 512 926
R 512 926
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 577 573
R 577 573
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 521 390
R 521 390
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 413 509
R 413 509
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 477 628
R 477 628
C 413 509
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 627 154
C 413 509
C 627 154
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 528 229
C 413 509
C 528 229
C 627 154
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 528 714
R 528 714
C 413 509
C 528 229
C 627 154
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 500 123
R 528 229
R 627 154
C 413 509
C 500 123
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
A 500 768
R 500 768
C 413 509
C 500 123
C 845 33
C 921 116
C 1023 397
C 1023 528
C 977 1003
C 507 956
